
DateTime,PPG,X,Y,Z,
1634618533598,399,64472,27,118,
1634618533598,418,64472,27,118,
1634618533598,443,64472,27,118,
1634618533598,408,64472,27,118,
1634618533599,421,64472,27,118,
1634618533606,428,64472,27,118,
1634618533613,447,64472,27,118,
1634618533620,418,64472,27,118,
1634618533627,438,64472,27,118,
1634618533635,429,64472,27,118,
1634618533635,431,64472,27,118,
1634618533635,433,64472,27,118,
1634618533636,439,64472,27,118,
1634618533636,426,64472,27,118,
1634618533637,445,64472,27,118,
1634618533644,431,64472,27,118,
1634618533651,406,64472,27,118,
1634618533658,435,64472,27,118,
1634618533665,430,64472,27,118,
1634618533672,451,64472,27,118,
1634618533672,416,64472,27,118,
1634618533672,412,64472,27,118,
1634618533672,453,64472,27,118,
1634618533672,435,64472,27,118,
1634618533673,430,64472,27,118,
1634618533680,431,64472,27,118,
1634618533688,420,64472,27,118,
1634618533695,428,64472,27,118,
1634618533703,429,64472,27,118,
1634618533711,426,64472,27,118,
1634618533711,412,64472,27,118,
1634618533711,414,64472,27,118,
1634618533711,436,64472,27,118,
1634618533711,444,64472,27,118,
1634618533711,437,64472,27,118,
1634618533718,423,64472,27,118,
1634618533725,436,64472,27,118,
1634618533732,446,64472,27,118,
1634618533739,437,64472,27,118,
1634618533747,422,64472,27,118,
1634618533747,443,64472,27,118,
1634618533747,423,64472,27,118,
1634618533747,420,64472,27,118,
1634618533747,449,64472,27,118,
1634618533748,423,64472,27,118,
1634618533755,428,64472,27,118,
1634618533762,417,64472,27,118,
1634618533770,427,64472,27,118,
1634618533777,420,64472,27,118,
1634618533785,419,64472,27,118,
1634618533792,439,64472,27,118,
1634618533800,423,64472,27,118,
1634618533807,425,64472,27,118,
1634618533815,416,64472,27,118,
1634618533823,452,64472,27,118,
1634618533823,425,64472,27,118,
1634618533823,430,64472,27,118,
1634618533823,428,64472,27,118,
1634618533823,419,64472,27,118,
1634618533824,209,64472,27,118,
1634618533831,438,64472,27,118,
1634618533838,429,64472,27,118,
1634618533845,420,64472,27,118,
1634618533852,218,64461,65409,65425,
1634618533860,455,64461,65409,65425,
1634618533860,442,64461,65409,65425,
1634618533860,433,64461,65409,65425,
1634618533860,430,64461,65409,65425,
1634618533860,452,64461,65409,65425,
1634618533861,427,64461,65409,65425,
1634618533875,432,64461,65409,65425,
1634618533889,217,64461,65409,65425,
1634618533904,421,64500,65306,65464,
1634618533918,453,64500,65306,65464,
1634618533933,455,64500,65306,65464,
1634618533933,209,64500,65306,65464,
1634618533933,416,64500,65306,65464,
1634618533934,437,64500,65306,65464,
1634618533934,454,64500,65306,65464,
1634618533935,414,64500,65306,65464,
1634618533935,421,64500,65306,65464,
1634618533936,436,64500,65306,65464,
1634618533937,418,64500,65306,65464,
1634618533938,443,64492,65304,65429,
1634618533939,450,64490,65306,65433,
1634618533939,425,64484,65309,65436,
1634618533939,210,64483,65311,65434,
1634618533939,437,64488,65316,65430,
1634618533939,433,64499,65320,65429,
1634618533940,448,64506,65322,65438,
1634618533946,432,64509,65323,65436,
1634618533952,449,64505,65320,65437,
1634618533959,448,64501,65316,65449,
1634618533965,429,64500,65317,65452,
1634618533972,453,64498,65320,65453,
1634618533972,225,64498,65319,65451,
1634618533972,448,64497,65319,65449,
1634618533973,434,64499,65313,65459,
1634618533973,235,64494,65300,65484,
1634618533974,436,64494,65298,65497,
1634618533994,413,64506,65297,65480,
1634618534015,425,64518,65295,65462,
1634618534035,447,64530,65292,65455,
1634618534056,445,64544,65284,65458,
1634618534077,212,64545,65279,65467,
1634618534077,442,64538,65282,65471,
1634618534077,213,64529,65288,65461,
1634618534077,443,64523,65298,65447,
1634618534077,209,64516,65306,65431,
1634618534078,448,64513,65311,65420,
1634618534078,440,64510,65318,65407,
1634618534078,227,64507,65328,65393,
1634618534078,455,64503,65336,65384,
1634618534078,446,64501,65339,65382,
1634618534078,451,64501,65340,65384,
1634618534078,439,64506,65339,65388,
1634618534078,438,64506,65341,65393,
1634618534078,437,64511,65343,65395,
1634618534078,445,64521,65342,65399,
1634618534078,429,64531,65336,65404,
1634618534079,431,64535,65329,65418,
1634618534080,409,64537,65323,65432,
1634618534081,424,64536,65315,65451,
1634618534082,414,64542,65316,65455,
1634618534083,417,64544,65317,65447,
1634618534090,443,64548,65319,65436,
1634618534098,223,64550,65323,65421,
1634618534106,425,64550,65324,65424,
1634618534114,430,64545,65323,65435,
1634618534122,440,64540,65328,65432,
1634618534122,448,64541,65335,65419,
1634618534122,441,64544,65342,65402,
1634618534123,421,64544,65343,65390,
1634618534123,418,64541,65341,65391,
1634618534124,214,64540,65348,65383,
1634618534132,454,64542,65348,65377,
1634618534141,421,64542,65350,65372,
1634618534150,232,64540,65347,65375,
1634618534159,252,64540,65347,65375,
1634618534168,242,64540,65344,65378,
1634618534168,444,64543,65344,65376,
1634618534168,434,64542,65336,65374,
1634618534168,212,64543,65333,65374,
1634618534168,214,64544,65327,65369,
1634618534168,226,64549,65321,65367,
1634618534173,425,64548,65318,65370,
1634618534179,432,64544,65318,65374,
1634618534185,210,64544,65318,65374,
1634618534191,438,64537,65316,65395,
1634618534197,448,64536,65317,65393,
1634618534197,252,64531,65315,65389,
1634618534197,436,64533,65314,65389,
1634618534197,435,64530,65310,65404,
1634618534197,412,64528,65310,65415,
1634618534197,394,64523,65312,65424,
1634618534204,422,64520,65313,65430,
1634618534211,446,64520,65313,65430,
1634618534218,426,64520,65313,65430,
1634618534225,399,64524,65319,65430,
1634618534233,455,64524,65316,65434,
1634618534233,447,64524,65309,65445,
1634618534233,430,64525,65309,65450,
1634618534234,447,64528,65309,65445,
1634618534234,214,64528,65309,65436,
1634618534235,455,64529,65306,65429,
1634618534242,435,64531,65304,65425,
1634618534249,219,64531,65304,65425,
1634618534256,212,64522,65295,65431,
1634618534263,233,64522,65295,65433,
1634618534271,217,64518,65298,65428,
1634618534278,223,64520,65299,65420,
1634618534285,208,64520,65302,65417,
1634618534293,449,64521,65305,65410,
1634618534300,422,64521,65305,65410,
1634618534308,428,64521,65305,65410,
1634618534309,408,64521,65305,65410,
1634618534310,227,64521,65305,65410,
1634618534312,212,64521,65305,65410,
1634618534313,433,64521,65305,65410,
1634618534315,429,64521,65305,65410,
1634618534315,445,64521,65305,65410,
1634618534315,225,64521,65305,65410,
1634618534315,434,64521,65305,65410,
1634618534315,444,64521,65305,65410,
1634618534315,449,64521,65305,65410,
1634618534321,442,64521,65305,65410,
1634618534328,215,64521,65305,65410,
1634618534334,218,64521,65305,65410,
1634618534341,421,64521,65305,65410,
