
DateTime,PPG,X,Y,Z,
1635923738689,245,77,289,1323,
1635923738689,226,76,288,1322,
1635923738689,251,75,291,1323,
1635923738689,322,77,289,1324,
1635923738690,236,78,289,1323,
1635923738697,463,76,289,1323,
1635923738704,280,76,289,1323,
1635923738711,284,77,288,1323,
1635923738718,254,77,288,1324,
1635923738726,460,77,289,1323,
1635923738726,458,77,289,1323,
1635923738726,285,77,290,1325,
1635923738727,467,77,290,1323,
1635923738727,296,76,289,1323,
1635923738728,264,77,290,1323,
1635923738734,254,77,290,1323,
1635923738741,252,77,290,1323,
1635923738748,286,78,288,1324,
1635923738755,226,78,289,1323,
1635923738762,282,77,289,1324,
1635923738762,259,74,290,1323,
1635923738762,250,74,290,1323,
1635923738763,255,77,289,1323,
1635923738763,256,78,290,1322,
1635923738764,467,78,290,1322,
1635923738771,258,78,290,1322,
1635923738778,245,78,290,1322,
1635923738785,471,78,290,1322,
1635923738792,271,78,290,1322,
1635923738800,284,78,290,1322,
1635923738800,257,78,290,1322,
1635923738800,281,78,290,1322,
1635923738801,237,78,290,1322,
1635923738801,247,78,290,1322,
1635923738802,268,78,290,1322,
1635923738809,273,78,290,1322,
1635923738816,235,78,290,1322,
1635923738823,263,78,290,1322,
1635923738830,260,78,290,1322,
1635923738838,239,78,290,1322,
1635923738845,250,78,290,1322,
1635923738852,241,78,290,1322,
1635923738860,393,78,290,1322,
1635923738867,266,78,290,1322,
1635923738875,232,78,290,1322,
1635923738875,451,78,290,1322,
1635923738875,233,78,290,1322,
1635923738875,263,78,290,1322,
1635923738875,286,78,290,1322,
1635923738876,229,78,290,1322,
1635923738883,251,78,290,1322,
1635923738890,432,78,290,1322,
1635923738898,270,78,290,1322,
1635923738905,297,78,290,1322,
1635923738913,263,78,290,1322,
1635923738928,468,78,290,1322,
1635923738943,254,78,290,1322,
1635923738958,325,78,290,1322,
1635923738973,448,78,290,1322,
1635923738988,275,78,290,1322,
1635923739006,279,78,290,1322,
1635923739025,253,78,290,1322,
1635923739043,258,78,290,1322,
1635923739062,286,78,290,1322,
1635923739081,261,78,290,1322,
1635923739081,264,78,290,1322,
1635923739082,255,78,290,1322,
1635923739083,294,78,290,1322,
1635923739084,276,78,290,1322,
1635923739085,318,78,290,1322,
1635923739085,301,78,290,1322,
1635923739085,224,78,290,1322,
1635923739085,261,78,290,1322,
1635923739085,287,78,290,1322,
1635923739085,456,78,290,1322,
1635923739085,266,78,290,1322,
1635923739085,264,78,290,1322,
1635923739085,262,78,290,1322,
1635923739085,246,78,290,1322,
1635923739085,282,78,290,1322,
1635923739085,242,78,290,1322,
1635923739085,454,78,290,1322,
1635923739085,250,78,290,1322,
1635923739085,243,78,290,1322,
1635923739085,249,78,290,1322,
1635923739085,289,76,289,1324,
1635923739085,260,77,289,1326,
1635923739085,274,77,289,1326,
1635923739085,263,77,289,1326,
1635923739085,250,77,289,1326,
1635923739085,448,77,289,1326,
1635923739085,232,77,289,1326,
1635923739085,289,77,289,1326,
1635923739085,277,77,289,1326,
1635923739085,233,76,289,1324,
1635923739087,254,76,288,1324,
1635923739090,244,76,288,1324,
1635923739093,443,76,288,1324,
1635923739096,466,76,288,1324,
1635923739099,304,76,288,1324,
1635923739106,273,76,288,1324,
1635923739113,246,76,288,1324,
